year,ari_design,duration,n_exceedances
1920,100,24hr,0
1921,100,24hr,1
1922,100,24hr,0
1923,100,24hr,0
1924,100,24hr,0
1925,100,24hr,0
1926,100,24hr,0
1927,100,24hr,0
1928,100,24hr,0
1929,100,24hr,0
1930,100,24hr,0
1931,100,24hr,0
1932,100,24hr,0
1933,100,24hr,2
1934,100,24hr,1
1935,100,24hr,0
1936,100,24hr,0
1937,100,24hr,0
1938,100,24hr,0
1939,100,24hr,0
1940,100,24hr,0
1941,100,24hr,0
1942,100,24hr,0
1943,100,24hr,0
1944,100,24hr,0
1945,100,24hr,2
1946,100,24hr,0
1947,100,24hr,0
1948,100,24hr,0
1949,100,24hr,0
1950,100,24hr,0
1951,100,24hr,0
1952,100,24hr,0
1953,100,24hr,0
1954,100,24hr,0
1955,100,24hr,0
1956,100,24hr,0
1957,100,24hr,0
1958,100,24hr,0
1959,100,24hr,0
1960,100,24hr,0
1961,100,24hr,0
1962,100,24hr,0
1963,100,24hr,0
1964,100,24hr,0
1965,100,24hr,0
1966,100,24hr,0
1967,100,24hr,0
1968,100,24hr,0
1969,100,24hr,0
1970,100,24hr,0
1971,100,24hr,0
1972,100,24hr,0
1973,100,24hr,0
1974,100,24hr,0
1975,100,24hr,0
1976,100,24hr,0
1977,100,24hr,0
1978,100,24hr,0
1979,100,24hr,2
1980,100,24hr,0
1981,100,24hr,0
1982,100,24hr,0
1983,100,24hr,1
1984,100,24hr,0
1985,100,24hr,0
1986,100,24hr,0
1987,100,24hr,0
1988,100,24hr,0
1989,100,24hr,0
1990,100,24hr,0
1991,100,24hr,0
1992,100,24hr,0
1993,100,24hr,0
1994,100,24hr,0
1995,100,24hr,0
1996,100,24hr,0
1997,100,24hr,0
1998,100,24hr,0
1999,100,24hr,0
2000,100,24hr,0
2001,100,24hr,0
2002,100,24hr,0
2003,100,24hr,0
2004,100,24hr,0
2005,100,24hr,0
2006,100,24hr,0
2007,100,24hr,0
2008,100,24hr,0
2009,100,24hr,0
2010,100,24hr,0
2011,100,24hr,0
2012,100,24hr,0
2013,100,24hr,0
2014,100,24hr,0
2015,100,24hr,0
2016,100,24hr,0
2017,100,24hr,0
2018,100,24hr,0
2019,100,24hr,0
2020,100,24hr,0
2021,100,24hr,0
2022,100,24hr,2
2023,100,24hr,0
2024,100,24hr,5
2025,100,24hr,0
1900,200,24hr,0
1901,200,24hr,0
1902,200,24hr,0
1903,200,24hr,0
1904,200,24hr,0
1905,200,24hr,0
1906,200,24hr,0
1907,200,24hr,0
1908,200,24hr,0
1909,200,24hr,0
1910,200,24hr,0
1911,200,24hr,0
1912,200,24hr,0
1913,200,24hr,0
1914,200,24hr,0
1915,200,24hr,1
1916,200,24hr,0
1917,200,24hr,0
1918,200,24hr,0
1919,200,24hr,0
1920,200,24hr,0
1921,200,24hr,0
1922,200,24hr,0
1923,200,24hr,0
1924,200,24hr,0
1925,200,24hr,0
1926,200,24hr,0
1927,200,24hr,0
1928,200,24hr,0
1929,200,24hr,0
1930,200,24hr,0
1931,200,24hr,0
1932,200,24hr,0
1933,200,24hr,1
1934,200,24hr,1
1935,200,24hr,0
1936,200,24hr,0
1937,200,24hr,0
1938,200,24hr,0
1939,200,24hr,0
1940,200,24hr,0
1941,200,24hr,0
1942,200,24hr,0
1943,200,24hr,0
1944,200,24hr,0
1945,200,24hr,0
1946,200,24hr,0
1947,200,24hr,0
1948,200,24hr,0
1949,200,24hr,0
1950,200,24hr,0
1951,200,24hr,0
1952,200,24hr,0
1953,200,24hr,0
1954,200,24hr,0
1955,200,24hr,0
1956,200,24hr,0
1957,200,24hr,0
1958,200,24hr,0
1959,200,24hr,0
1960,200,24hr,0
1961,200,24hr,0
1962,200,24hr,0
1963,200,24hr,0
1964,200,24hr,0
1965,200,24hr,0
1966,200,24hr,0
1967,200,24hr,0
1968,200,24hr,0
1969,200,24hr,0
1970,200,24hr,0
1971,200,24hr,0
1972,200,24hr,0
1973,200,24hr,0
1974,200,24hr,0
1975,200,24hr,0
1976,200,24hr,0
1977,200,24hr,0
1978,200,24hr,0
1979,200,24hr,0
1980,200,24hr,0
1981,200,24hr,0
1982,200,24hr,0
1983,200,24hr,1
1984,200,24hr,0
1985,200,24hr,0
1986,200,24hr,0
1987,200,24hr,0
1988,200,24hr,0
1989,200,24hr,0
1990,200,24hr,0
1991,200,24hr,0
1992,200,24hr,0
1993,200,24hr,0
1994,200,24hr,0
1995,200,24hr,0
1996,200,24hr,0
1997,200,24hr,0
1998,200,24hr,0
1999,200,24hr,0
2000,200,24hr,0
2001,200,24hr,0
2002,200,24hr,0
2003,200,24hr,0
2004,200,24hr,0
2005,200,24hr,0
2006,200,24hr,0
2007,200,24hr,0
2008,200,24hr,0
2009,200,24hr,0
2010,200,24hr,0
2011,200,24hr,0
2012,200,24hr,0
2013,200,24hr,0
2014,200,24hr,0
2015,200,24hr,0
2016,200,24hr,0
2017,200,24hr,0
2018,200,24hr,0
2019,200,24hr,0
2020,200,24hr,0
2021,200,24hr,0
2022,200,24hr,2
2023,200,24hr,0
2024,200,24hr,1
2025,200,24hr,0
